Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124136-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.53076876126803,13,10000,IND@SEA,SEA,IND,,,,,,WR/FLEX
124136-103020,WR,Puka,Puka Nacua,Nacua,18.6999994913737,12,9700,DET@LAR,LAR,DET,,,,,,WR/FLEX
124136-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,22.353846623347355,13,9500,DET@LAR,DET,LAR,,,,,,RB/FLEX
124136-89675,RB,Jonathan,Jonathan Taylor,Taylor,23.576923076923077,13,9300,IND@SEA,IND,SEA,,,,,,RB/FLEX
124136-62239,QB,Josh,Josh Allen,Allen,25.309229924128605,13,9300,BUF@NE,BUF,NE,,,,,,QB
124136-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,15.949999491373697,12,9200,BAL@CIN,CIN,BAL,,,,,,WR/FLEX
124136-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.46153846153846,13,9000,TEN@SF,SF,TEN,Q,Back,,,,RB/FLEX
124136-111311,WR,Rashee,Rashee Rice,Rice,16.857142857142858,7,8700,LAC@KC,KC,LAC,,,,,,WR/FLEX
124136-69531,QB,Jalen,Jalen Hurts,Hurts,19.758460411658653,13,8700,LV@PHI,PHI,LV,,,,,,QB
124136-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,15.538461538461538,13,8600,DET@LAR,DET,LAR,,,,,,WR/FLEX
124136-57439,QB,Patrick,Patrick Mahomes,Mahomes,22.16307654747596,13,8500,LAC@KC,KC,LAC,,,,,,QB
124136-64401,RB,Saquon,Saquon Barkley,Barkley,13.50769277719351,13,8500,LV@PHI,PHI,LV,,,,,,RB/FLEX
124136-39280,RB,Derrick,Derrick Henry,Henry,14.846153846153847,13,8400,BAL@CIN,BAL,CIN,,,,,,RB/FLEX
124136-63336,QB,Joe,Joe Burrow,Burrow,15.114999771118164,4,8400,BAL@CIN,CIN,BAL,,,,,,QB
124136-91419,WR,Nico,Nico Collins,Collins,13.550000508626303,12,8300,ARI@HOU,HOU,ARI,,,,,,WR/FLEX
124136-91626,RB,James,James Cook III,Cook III,18.53846153846154,13,8300,BUF@NE,BUF,NE,,,,,,RB/FLEX
124136-6654,QB,Matthew,Matthew Stafford,Stafford,20.704615666316105,13,8300,DET@LAR,LAR,DET,,,,,,QB
124136-72731,RB,Josh,Josh Jacobs,Jacobs,16.025000254313152,12,8200,GB@DEN,GB,DEN,Q,Knee,,,,RB/FLEX
124136-72846,WR,A.J.,A.J. Brown,Brown,13.491666158040365,12,8200,LV@PHI,PHI,LV,,,,,,WR/FLEX
124136-63115,QB,Lamar,Lamar Jackson,Jackson,18.01000061035156,10,8200,BAL@CIN,BAL,CIN,,,,,,QB
124136-152316,QB,Drake,Drake Maye,Maye,20.390768197866585,13,8100,BUF@NE,NE,BUF,,,,,,QB
124136-102785,QB,Jayden,Jayden Daniels,Daniels,16.754285539899552,7,8000,WAS@NYG,WAS,NYG,O,Elbow,,,,QB
124136-91750,TE,Trey,Trey McBride,McBride,14.938461303710938,13,8000,ARI@HOU,ARI,HOU,,,,,,TE/FLEX
124136-45889,WR,Davante,Davante Adams,Adams,14.36923100398137,13,8000,DET@LAR,LAR,DET,Q,Hamstring,,,,WR/FLEX
124136-38435,QB,Jared,Jared Goff,Goff,18.596922654371994,13,7900,DET@LAR,DET,LAR,,,,,,QB
124136-69189,QB,Justin,Justin Herbert,Herbert,19.318461491511417,13,7800,LAC@KC,LAC,KC,,,,,,QB
124136-69017,QB,Jordan,Jordan Love,Love,17.493846012995792,13,7700,GB@DEN,GB,DEN,,,,,,QB
124136-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.416666666666666,12,7700,CLE@CHI,CLE,CHI,,,,,,RB/FLEX
124136-89981,WR,Tee,Tee Higgins,Higgins,12.391666412353516,12,7700,BAL@CIN,CIN,BAL,O,Concussion,,,,WR/FLEX
124136-151966,QB,Jaxson,Jaxson Dart,Dart,17.694000244140625,10,7600,WAS@NYG,NYG,WAS,,,,,,QB
124136-152113,QB,Caleb,Caleb Williams,Williams,18.73999962439904,13,7500,CLE@CHI,CHI,CLE,,,,,,QB
124136-85607,QB,Brock,Brock Purdy,Purdy,17.636000061035155,5,7500,TEN@SF,SF,TEN,,,,,,QB
124136-87770,WR,Chris,Chris Olave,Olave,11.6000002347506,13,7500,CAR@NO,NO,CAR,,,,,,WR/FLEX
124136-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,14.061538696289062,13,7500,NYJ@JAC,JAC,NYJ,,,,,,RB/FLEX
124136-151794,TE,Brock,Brock Bowers,Bowers,13.260000610351563,10,7400,LV@PHI,LV,PHI,,,,,,TE/FLEX
124136-90576,WR,DeVonta,DeVonta Smith,Smith,10.76153799203726,13,7400,LV@PHI,PHI,LV,,,,,,WR/FLEX
124136-30231,QB,Jacoby,Jacoby Brissett,Brissett,18.116000366210937,10,7400,ARI@HOU,ARI,HOU,,,,,,QB
124136-63589,QB,Sam,Sam Darnold,Darnold,15.898460975060097,13,7300,IND@SEA,SEA,IND,,,,,,QB
124136-103064,RB,Breece,Breece Hall,Hall,12.827691885141226,13,7300,NYJ@JAC,NYJ,JAC,,,,,,RB/FLEX
124136-112295,WR,Zay,Zay Flowers,Flowers,10.423076923076923,13,7300,BAL@CIN,BAL,CIN,,,,,,WR/FLEX
124136-133472,WR,Ladd,Ladd McConkey,McConkey,10.384615384615385,13,7200,LAC@KC,LAC,KC,,,,,,WR/FLEX
124136-89951,QB,Trevor,Trevor Lawrence,Lawrence,17.484615619365986,13,7200,NYJ@JAC,JAC,NYJ,,,,,,QB
124136-104433,RB,Kyren,Kyren Williams,Williams,14.838461068960337,13,7200,DET@LAR,LAR,DET,,,,,,RB/FLEX
124136-89493,RB,Chase,Chase Brown,Brown,12.776923546424278,13,7100,BAL@CIN,CIN,BAL,,,,,,RB/FLEX
124136-102965,QB,Bo,Bo Nix,Nix,18.88923058143029,13,7100,GB@DEN,DEN,GB,,,,,,QB
124136-56250,WR,Terry,Terry McLaurin,McLaurin,9.583333333333334,6,7100,WAS@NYG,WAS,NYG,,,,,,WR/FLEX
124136-88431,QB,Tyler,Tyler Shough,Shough,12.011428833007812,7,7000,CAR@NO,NO,CAR,,,,,,QB
