Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122492-103020,WR,Puka,Puka Nacua,Nacua,20.014286586216517,7,9900,LAR@SF,LAR,SF,Q,Ribs,,,,WR/FLEX
122492-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.966666327582466,9,9700,LAR@SF,SF,LAR,,,,,,RB/FLEX
122492-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.75,8,9500,ARI@SEA,SEA,ARI,,,,,,WR/FLEX
122492-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,17.737499237060547,8,9300,DET@WAS,DET,WAS,,,,,,WR/FLEX
122492-91626,RB,James,James Cook III,Cook III,20.024999618530273,8,9200,BUF@MIA,BUF,MIA,Q,Ankle,,,,RB/FLEX
122492-62239,QB,Josh,Josh Allen,Allen,24.040000915527344,8,9200,BUF@MIA,BUF,MIA,,,,,,QB
122492-63115,QB,Lamar,Lamar Jackson,Jackson,23.98399963378906,5,9000,BAL@MIN,BAL,MIN,,,,,,QB
122492-85671,WR,Justin,Justin Jefferson,Jefferson,13.350000381469727,8,9000,BAL@MIN,MIN,BAL,,,,,,WR/FLEX
122492-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,16.787500381469727,8,8800,DET@WAS,DET,WAS,,,,,,RB/FLEX
122492-102785,QB,Jayden,Jayden Daniels,Daniels,18.926666259765625,6,8800,DET@WAS,WAS,DET,O,Elbow,,,,QB
122492-45889,WR,Davante,Davante Adams,Adams,14.762499809265137,8,8800,LAR@SF,LAR,SF,,,,,,WR/FLEX
122492-138820,RB,De'Von,De'Von Achane,Achane,17.166666666666668,9,8500,BUF@MIA,MIA,BUF,,,,,,RB/FLEX
122492-39280,RB,Derrick,Derrick Henry,Henry,13.9375,8,8400,BAL@MIN,BAL,MIN,,,,,,RB/FLEX
122492-152316,QB,Drake,Drake Maye,Maye,21.455556233723957,9,8200,NE@TB,NE,TB,,,,,,QB
122492-104433,RB,Kyren,Kyren Williams,Williams,15.024999618530273,8,8200,LAR@SF,LAR,SF,,,,,,RB/FLEX
122492-91419,WR,Nico,Nico Collins,Collins,11.099999564034599,7,8000,JAC@HOU,HOU,JAC,,,,,,WR/FLEX
122492-6654,QB,Matthew,Matthew Stafford,Stafford,21.15999984741211,8,8000,LAR@SF,LAR,SF,,,,,,QB
122492-72297,RB,Rico,Rico Dowdle,Dowdle,14.799999660915798,9,8000,NO@CAR,CAR,NO,Q,Quadriceps,,,,RB/FLEX
122492-41535,QB,Baker,Baker Mayfield,Mayfield,18.19499969482422,8,7900,NE@TB,TB,NE,,,,,,QB
122492-152655,WR,Emeka,Emeka Egbuka,Egbuka,14.012499809265137,8,7800,NE@TB,TB,NE,,,,,,WR/FLEX
122492-152664,RB,Bucky,Bucky Irving,Irving,16.375,4,7800,NE@TB,TB,NE,Q,Foot,,,,RB/FLEX
122492-38435,QB,Jared,Jared Goff,Goff,17.862499237060547,8,7800,DET@WAS,DET,WAS,,,,,,QB
122492-151966,QB,Jaxson,Jaxson Dart,Dart,17.137500762939453,8,7700,NYG@CHI,NYG,CHI,,,,,,QB
122492-120033,WR,Rome,Rome Odunze,Odunze,12.350000381469727,8,7600,NYG@CHI,CHI,NYG,Q,Ankle,,,,WR/FLEX
122492-169410,RB,Quinshon,Quinshon Judkins,Judkins,13.37142835344587,7,7600,CLE@NYJ,CLE,NYJ,,,,,,RB/FLEX
122492-63589,QB,Sam,Sam Darnold,Darnold,18.5575008392334,8,7500,ARI@SEA,SEA,ARI,,,,,,QB
122492-103564,WR,Garrett,Garrett Wilson,Wilson,13.583333333333334,6,7500,CLE@NYJ,NYJ,CLE,Q,Knee,,,,WR/FLEX
122492-103064,RB,Breece,Breece Hall,Hall,13.694999694824219,8,7500,CLE@NYJ,NYJ,CLE,,,,,,RB/FLEX
122492-129210,WR,Jordan,Jordan Addison,Addison,13.360000610351562,5,7400,BAL@MIN,MIN,BAL,,,,,,WR/FLEX
122492-152113,QB,Caleb,Caleb Williams,Williams,20.017499923706055,8,7400,NYG@CHI,CHI,NYG,,,,,,QB
122492-137902,RB,Rachaad,Rachaad White,White,9.362500190734863,8,7300,NE@TB,TB,NE,,,,,,RB/FLEX
122492-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,10.824999809265137,8,7300,DET@WAS,WAS,DET,,,,,,WR/FLEX
122492-63484,QB,Kyler,Kyler Murray,Murray,16.155999755859376,5,7300,ARI@SEA,ARI,SEA,IR,Foot,,,,QB
122492-90573,WR,Jaylen,Jaylen Waddle,Waddle,11.824444240993923,9,7200,BUF@MIA,MIA,BUF,,,,,,WR/FLEX
