Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121559-117178,RB,Jacory,Jacory Croskey-Merritt,Croskey-Merritt,11.083333333333334,6,6600,WAS@DAL,WAS,DAL,,,,,,RB/FLEX
121559-70324,QB,Carson,Carson Wentz,Wentz,18.753332773844402,3,6600,PHI@MIN,MIN,PHI,Q,Shoulder,,,,QB
121559-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,11.083333333333334,6,6600,CAR@NYJ,CAR,NYJ,,,,,,WR/FLEX
121559-111557,QB,Spencer,Spencer Rattler,Rattler,14.413333892822266,6,6600,NO@CHI,NO,CHI,,,,,,QB
121559-42104,RB,Alvin,Alvin Kamara,Kamara,9.766666412353516,6,6500,NO@CHI,NO,CHI,,,,,,RB/FLEX
121559-151794,TE,Brock,Brock Bowers,Bowers,9.25,4,6500,LV@KC,LV,KC,Q,Knee - pcl,,,,TE/FLEX
121559-103698,QB,Dillon,Dillon Gabriel,Gabriel,7.425000190734863,4,6500,MIA@CLE,CLE,MIA,,,,,,QB
121559-63043,WR,DJ,DJ Moore,Moore,7.5,5,6500,NO@CHI,CHI,NO,,,,,,WR/FLEX
121559-168356,QB,Cam,Cam Ward,Ward,7.939999898274739,6,6400,NE@TEN,TEN,NE,,,,,,QB
121559-87467,RB,Chuba,Chuba Hubbard,Hubbard,12.399999618530273,4,6400,CAR@NYJ,CAR,NYJ,Q,Calf,,,,RB/FLEX
121559-56250,WR,Terry,Terry McLaurin,McLaurin,6.633333206176758,3,6400,WAS@DAL,WAS,DAL,Q,Quadriceps,,,,WR/FLEX
121559-94370,WR,Romeo,Romeo Doubs,Doubs,11.280000305175781,5,6300,GB@ARI,GB,ARI,,,,,,WR/FLEX
121559-91598,RB,D'Andre,D'Andre Swift,Swift,14.239999389648437,5,6300,NO@CHI,CHI,NO,,,,,,RB/FLEX
121559-160303,TE,Tucker,Tucker Kraft,Kraft,11.419999694824218,5,6300,GB@ARI,GB,ARI,,,,,,TE/FLEX
121559-61798,QB,Gardner,Gardner Minshew II,Minshew II,-0.30000001192092896,1,6200,LV@KC,KC,LV,,,,,,QB
121559-88431,QB,Tyler,Tyler Shough,Shough,0,1,6200,NO@CHI,NO,CHI,,,,,,QB
121559-185776,QB,Tyson,Tyson Bagent,Bagent,1.7799999713897705,1,6200,NO@CHI,CHI,NO,,,,,,QB
121559-29253,WR,Keenan,Keenan Allen,Allen,11.016666412353516,6,6200,IND@LAC,LAC,IND,,,,,,WR/FLEX
121559-128633,RB,Kimani,Kimani Vidal,Vidal,8.90000025431315,3,6200,IND@LAC,LAC,IND,,,,,,RB/FLEX
121559-29358,QB,Marcus,Marcus Mariota,Mariota,18.760000228881836,2,6200,WAS@DAL,WAS,DAL,,,,,,QB
121559-87770,WR,Chris,Chris Olave,Olave,9.783333460489908,6,6200,NO@CHI,NO,CHI,,,,,,WR/FLEX
121559-45229,RB,Kareem,Kareem Hunt,Hunt,7.616666793823242,6,6100,LV@KC,KC,LV,,,,,,RB/FLEX
121559-129210,WR,Jordan,Jordan Addison,Addison,14.5,2,6100,PHI@MIN,MIN,PHI,,,,,,WR/FLEX
121559-90576,WR,DeVonta,DeVonta Smith,Smith,9.266666412353516,6,6100,PHI@MIN,PHI,MIN,,,,,,WR/FLEX
121559-200653,QB,Max,Max Brosmer,Brosmer,0.5299999713897705,2,6100,PHI@MIN,MIN,PHI,,,,,,QB
121559-14377,QB,Tyrod,Tyrod Taylor,Taylor,13.010000228881836,2,6000,CAR@NYJ,NYJ,CAR,,,,,,QB
121559-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,PHI@MIN,PHI,MIN,,,,,,QB
121559-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,10.800000508626303,6,6000,NYG@DEN,NYG,DEN,,,,,,WR/FLEX
121559-52342,QB,Will,Will Grier,Grier,,0,6000,WAS@DAL,DAL,WAS,,,,,,QB
121559-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6000,PHI@MIN,PHI,MIN,,,,,,QB
121559-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,MIA@CLE,MIA,CLE,,,,,,QB
121559-103619,WR,Tre,Tre Tucker,Tucker,12.916666666666666,6,6000,LV@KC,LV,KC,,,,,,WR/FLEX
121559-149696,QB,Trey,Trey Lance,Lance,2.859999895095825,1,6000,IND@LAC,LAC,IND,,,,,,QB
121559-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,LV@KC,LV,KC,IR,Wrist,,,,QB
121559-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,NE@TEN,TEN,NE,IR,Shoulder,,,,QB
121559-91390,QB,Joe,Joe Milton III,Milton III,0.6399999856948853,1,6000,WAS@DAL,DAL,WAS,,,,,,QB
121559-24849,QB,Jameis,Jameis Winston,Winston,13.830909035422586,11,6000,NYG@DEN,NYG,DEN,,,,,,QB
121559-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6000,IND@LAC,IND,LAC,IR,Orbital,,,,QB
121559-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153442,1,6000,MIA@CLE,MIA,CLE,,,,,,QB
121559-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,NYG@DEN,DEN,NYG,,,,,,QB
121559-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.166666666666667,6,6000,LV@KC,KC,LV,,,,,,RB/FLEX
121559-25011,TE,Darren,Darren Waller,Waller,13.566666920979818,3,6000,MIA@CLE,MIA,CLE,,,,,,TE/FLEX
121559-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,NE@TEN,TEN,NE,,,,,,QB
121559-22994,QB,Case,Case Keenum,Keenum,,0,6000,NO@CHI,CHI,NO,,,,,,QB
121559-40407,QB,Joshua,Joshua Dobbs,Dobbs,-0.20000000298023224,1,6000,NE@TEN,NE,TEN,,,,,,QB
121559-22015,QB,Russell,Russell Wilson,Wilson,10.568000030517577,5,6000,NYG@DEN,NYG,DEN,,,,,,QB
121559-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,6000,PHI@MIN,PHI,MIN,,,,,,QB
121559-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.16666666666666666,3,6000,NYG@DEN,DEN,NYG,,,,,,QB
121559-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,GB@ARI,ARI,GB,,,,,,QB
121559-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,6000,NE@TEN,NE,TEN,,,,,,QB
121559-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@DAL,WAS,DAL,,,,,,QB
121559-208467,QB,Cam,Cam Miller,Miller,,0,6000,LV@KC,LV,KC,,,,,,QB
121559-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,6000,GB@ARI,GB,ARI,,,,,,QB
