Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123168-89675,RB,Jonathan,Jonathan Taylor,Taylor,27.389999389648438,10,10000,IND@KC,IND,KC,,,,,,RB/FLEX
123168-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.289999389648436,10,9800,SEA@TEN,SEA,TEN,,,,,,WR/FLEX
123168-136855,RB,Bijan,Bijan Robinson,Robinson,20.139999389648438,10,9600,ATL@NO,ATL,NO,,,,,,RB/FLEX
123168-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.139999389648438,10,9200,NYG@DET,DET,NYG,,,,,,WR/FLEX
123168-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,19.410000610351563,10,9100,NYG@DET,DET,NYG,,,,,,RB/FLEX
123168-86631,WR,CeeDee,CeeDee Lamb,Lamb,16.150000254313152,6,9000,PHI@DAL,DAL,PHI,,,,,,WR/FLEX
123168-64401,RB,Saquon,Saquon Barkley,Barkley,13.989999389648437,10,9000,PHI@DAL,PHI,DAL,,,,,,RB/FLEX
123168-69531,QB,Jalen,Jalen Hurts,Hurts,20.43000030517578,10,9000,PHI@DAL,PHI,DAL,,,,,,QB
123168-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.61999969482422,10,8900,NE@CIN,CIN,NE,IR,Suspension,,,,WR/FLEX
123168-112745,WR,Drake,Drake London,London,18,9,8600,ATL@NO,ATL,NO,D,Knee - pcl,,,,WR/FLEX
123168-72731,RB,Josh,Josh Jacobs,Jacobs,16.65,10,8500,MIN@GB,GB,MIN,Q,Knee,,,,RB/FLEX
123168-91750,TE,Trey,Trey McBride,McBride,15.530000305175781,10,8500,JAC@ARI,ARI,JAC,,,,,,TE/FLEX
123168-63115,QB,Lamar,Lamar Jackson,Jackson,20.468571254185267,7,8500,NYJ@BAL,BAL,NYJ,,,,,,QB
123168-39280,RB,Derrick,Derrick Henry,Henry,14.360000610351562,10,8400,NYJ@BAL,BAL,NYJ,,,,,,RB/FLEX
123168-152316,QB,Drake,Drake Maye,Maye,20.69454539905895,11,8400,NE@CIN,NE,CIN,,,,,,QB
123168-85671,WR,Justin,Justin Jefferson,Jefferson,12.109999847412109,10,8300,MIN@GB,MIN,GB,,,,,,WR/FLEX
123168-93541,RB,Javonte,Javonte Williams,Williams,15.919999694824218,10,8200,PHI@DAL,DAL,PHI,,,,,,RB/FLEX
123168-57439,QB,Patrick,Patrick Mahomes,Mahomes,22.88000030517578,10,8100,IND@KC,KC,IND,,,,,,QB
123168-111311,WR,Rashee,Rashee Rice,Rice,16.024999618530273,4,8100,IND@KC,KC,IND,,,,,,WR/FLEX
123168-38435,QB,Jared,Jared Goff,Goff,18.38000030517578,10,8000,NYG@DET,DET,NYG,,,,,,QB
123168-72846,WR,A.J.,A.J. Brown,Brown,9.855555216471354,9,7900,PHI@DAL,PHI,DAL,,,,,,WR/FLEX
123168-31716,QB,Dak,Dak Prescott,Prescott,20.517999267578126,10,7900,PHI@DAL,DAL,PHI,,,,,,QB
123168-63519,QB,Daniel,Daniel Jones,Jones,20.566000366210936,10,7800,IND@KC,IND,KC,,,,,,QB
123168-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.11111111111111,9,7700,CLE@LV,CLE,LV,,,,,,RB/FLEX
123168-152113,QB,Caleb,Caleb Williams,Williams,19.555999755859375,10,7700,PIT@CHI,CHI,PIT,,,,,,QB
123168-110246,WR,George,George Pickens,Pickens,17.08000030517578,10,7700,PHI@DAL,DAL,PHI,,,,,,WR/FLEX
123168-151966,QB,Jaxson,Jaxson Dart,Dart,18.153333875868057,9,7600,NYG@DET,NYG,DET,Q,Concussion,,,,QB
123168-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,10.51818154074929,11,7500,NE@CIN,NE,CIN,,,,,,RB/FLEX
123168-6714,QB,Joe,Joe Flacco,Flacco,16.724444919162327,9,7500,NE@CIN,CIN,NE,,,,,,QB
123168-63336,QB,Joe,Joe Burrow,Burrow,7.929999828338623,2,7500,NE@CIN,CIN,NE,IR,Toe,,,,QB
123168-89981,WR,Tee,Tee Higgins,Higgins,11.890000152587891,10,7500,NE@CIN,CIN,NE,,,,,,WR/FLEX
123168-63589,QB,Sam,Sam Darnold,Darnold,16.263999938964844,10,7400,SEA@TEN,SEA,TEN,,,,,,QB
123168-167031,RB,Ashton,Ashton Jeanty,Jeanty,12.919999694824218,10,7400,CLE@LV,LV,CLE,,,,,,RB/FLEX
123168-151794,TE,Brock,Brock Bowers,Bowers,13.028570992606026,7,7400,CLE@LV,LV,CLE,,,,,,TE/FLEX
123168-73048,WR,DK,DK Metcalf,Metcalf,10.65999984741211,10,7400,PIT@CHI,PIT,CHI,,,,,,WR/FLEX
123168-30231,QB,Jacoby,Jacoby Brissett,Brissett,16.542857578822545,7,7300,JAC@ARI,ARI,JAC,,,,,,QB
123168-103064,RB,Breece,Breece Hall,Hall,13.596000671386719,10,7300,NYJ@BAL,NYJ,BAL,,,,,,RB/FLEX
123168-87770,WR,Chris,Chris Olave,Olave,12.20999984741211,10,7300,ATL@NO,NO,ATL,,,,,,WR/FLEX
123168-69017,QB,Jordan,Jordan Love,Love,17.433999633789064,10,7200,MIN@GB,GB,MIN,,,,,,QB
123168-90576,WR,DeVonta,DeVonta Smith,Smith,11.5,10,7200,PHI@DAL,PHI,DAL,,,,,,WR/FLEX
123168-103342,RB,Kenneth,Kenneth Walker III,Walker III,10.730000305175782,10,7200,SEA@TEN,SEA,TEN,,,,,,RB/FLEX
123168-111631,WR,Jameson,Jameson Williams,Williams,10.86999969482422,10,7100,NYG@DET,DET,NYG,,,,,,WR/FLEX
123168-112057,RB,Jaylen,Jaylen Warren,Warren,12.11111111111111,9,7100,PIT@CHI,PIT,CHI,Q,Ankle,,,,RB/FLEX
