Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122147-89675,RB,Jonathan,Jonathan Taylor,Taylor,27.012500762939453,8,11000,IND@PIT,IND,PIT,,,,,,RB/FLEX
122147-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,18.075000762939453,8,9700,CHI@CIN,CIN,CHI,,,,,,WR/FLEX
122147-103020,WR,Puka,Puka Nacua,Nacua,20.133333841959637,6,9500,NO@LAR,LAR,NO,,,,,,WR/FLEX
122147-55050,RB,Christian,Christian McCaffrey,McCaffrey,21.487499237060547,8,9500,SF@NYG,SF,NYG,,,,,,RB/FLEX
122147-72731,RB,Josh,Josh Jacobs,Jacobs,18.185714721679688,7,9400,CAR@GB,GB,CAR,,,,,,RB/FLEX
122147-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,18.24285670689174,7,9100,MIN@DET,DET,MIN,,,,,,WR/FLEX
122147-136855,RB,Bijan,Bijan Robinson,Robinson,20.957142421177455,7,9000,ATL@NE,ATL,NE,,,,,,RB/FLEX
122147-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,18.571428571428573,7,8900,MIN@DET,DET,MIN,,,,,,RB/FLEX
122147-62239,QB,Josh,Josh Allen,Allen,23.357142857142858,7,8900,KC@BUF,BUF,KC,,,,,,QB
122147-85671,WR,Justin,Justin Jefferson,Jefferson,13.299999782017299,7,8700,MIN@DET,MIN,DET,,,,,,WR/FLEX
122147-57439,QB,Patrick,Patrick Mahomes,Mahomes,25.3700008392334,8,8500,KC@BUF,KC,BUF,,,,,,QB
122147-45889,WR,Davante,Davante Adams,Adams,13.942856924874443,7,8500,NO@LAR,LAR,NO,,,,,,WR/FLEX
122147-91626,RB,James,James Cook III,Cook III,20.599999564034597,7,8400,KC@BUF,BUF,KC,,,,,,RB/FLEX
122147-111311,WR,Rashee,Rashee Rice,Rice,20.350000381469727,2,8200,KC@BUF,KC,BUF,,,,,,WR/FLEX
122147-69189,QB,Justin,Justin Herbert,Herbert,22.049999237060547,8,8100,LAC@TEN,LAC,TEN,,,,,,QB
122147-120033,WR,Rome,Rome Odunze,Odunze,14.114286150251116,7,8000,CHI@CIN,CHI,CIN,,,,,,WR/FLEX
122147-102965,QB,Bo,Bo Nix,Nix,21.15250015258789,8,8000,DEN@HOU,DEN,HOU,,,,,,QB
122147-104433,RB,Kyren,Kyren Williams,Williams,14.257143293108259,7,8000,NO@LAR,LAR,NO,,,,,,RB/FLEX
122147-63519,QB,Daniel,Daniel Jones,Jones,21.135000228881836,8,7900,IND@PIT,IND,PIT,,,,,,QB
122147-91419,WR,Nico,Nico Collins,Collins,11.116666158040365,6,7900,DEN@HOU,HOU,DEN,,,,,,WR/FLEX
122147-133472,WR,Ladd,Ladd McConkey,McConkey,11.162500381469727,8,7800,LAC@TEN,LAC,TEN,,,,,,WR/FLEX
