Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123820-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,20.191666920979817,12,9800,SEA@ATL,SEA,ATL,,,,,,WR/FLEX
123820-89675,RB,Jonathan,Jonathan Taylor,Taylor,24.59166717529297,12,9700,IND@JAC,IND,JAC,,,,,,RB/FLEX
123820-91626,RB,James,James Cook III,Cook III,19.241666158040363,12,9300,CIN@BUF,BUF,CIN,,,,,,RB/FLEX
123820-103020,WR,Puka,Puka Nacua,Nacua,17.199999722567473,11,9300,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
123820-138820,RB,De'Von,De'Von Achane,Achane,19.9499994913737,12,9200,MIA@NYJ,MIA,NYJ,,,,,,RB/FLEX
123820-62239,QB,Josh,Josh Allen,Allen,24.264999389648438,12,9200,CIN@BUF,BUF,CIN,,,,,,QB
123820-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.699999722567473,11,9100,CIN@BUF,CIN,BUF,,,,,,WR/FLEX
123820-136855,RB,Bijan,Bijan Robinson,Robinson,20.491666158040363,12,9000,SEA@ATL,ATL,SEA,,,,,,RB/FLEX
123820-39280,RB,Derrick,Derrick Henry,Henry,15.191666920979818,12,8700,PIT@BAL,BAL,PIT,,,,,,RB/FLEX
123820-72731,RB,Josh,Josh Jacobs,Jacobs,16.009091463955965,11,8600,CHI@GB,GB,CHI,,,,,,RB/FLEX
123820-91750,TE,Trey,Trey McBride,McBride,15.491666158040365,12,8600,LAR@ARI,ARI,LAR,,,,,,TE/FLEX
123820-45889,WR,Davante,Davante Adams,Adams,15.158332824707031,12,8600,LAR@ARI,LAR,ARI,,,,,,WR/FLEX
123820-102785,QB,Jayden,Jayden Daniels,Daniels,18.926666259765625,6,8500,WAS@MIN,WAS,MIN,Q,Elbow,,,,QB
123820-63115,QB,Lamar,Lamar Jackson,Jackson,17.559999254014755,9,8400,PIT@BAL,BAL,PIT,,,,,,QB
123820-104433,RB,Kyren,Kyren Williams,Williams,14.683333079020182,12,8200,LAR@ARI,LAR,ARI,,,,,,RB/FLEX
123820-85671,WR,Justin,Justin Jefferson,Jefferson,10.77500025431315,12,8100,WAS@MIN,MIN,WAS,,,,,,WR/FLEX
123820-63336,QB,Joe,Joe Burrow,Burrow,11.699999491373697,3,8100,CIN@BUF,CIN,BUF,,,,,,QB
123820-152664,RB,Bucky,Bucky Irving,Irving,16.11999969482422,5,8000,NO@TB,TB,NO,,,,,,RB/FLEX
123820-6654,QB,Matthew,Matthew Stafford,Stafford,20.49333318074544,12,8000,LAR@ARI,LAR,ARI,,,,,,QB
123820-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.736364191228693,11,7900,TEN@CLE,CLE,TEN,,,,,,RB/FLEX
