Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124699-160938,QB,Quinn,Quinn Ewers,Ewers,5.510000228881836,2,6400,TB@MIA,MIA,TB,,,,,,QB
124699-168356,QB,Cam,Cam Ward,Ward,11.162666829427083,15,6400,NO@TEN,TEN,NO,,,,,,QB
124699-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,8.65000025431315,12,6400,NE@NYJ,NE,NYJ,,,,,,RB/FLEX
124699-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.743333180745443,6,6300,NE@NYJ,NYJ,NE,Q,Knee,,,,QB
124699-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.541666666666666,12,6300,JAC@IND,JAC,IND,,,,,,WR/FLEX
124699-7968,QB,Philip,Philip Rivers,Rivers,12.9399995803833,2,6300,JAC@IND,IND,JAC,,,,,,QB
124699-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,10.806667073567708,15,6300,PIT@CLE,PIT,CLE,,,,,,RB/FLEX
124699-119641,QB,Brady,Brady Cook,Cook,7.060000101725261,3,6300,NE@NYJ,NYJ,NE,,,,,,QB
124699-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,8.669230534480167,13,6200,NYG@LV,NYG,LV,,,,,,RB/FLEX
124699-103698,QB,Dillon,Dillon Gabriel,Gabriel,7.208000183105469,10,6200,PIT@CLE,CLE,PIT,,,,,,QB
124699-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6200,JAC@IND,IND,JAC,IR,Eye,,,,QB
124699-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,6.414285932268415,7,6200,TB@MIA,TB,MIA,Q,Lower leg,,,,WR/FLEX
124699-40407,QB,Joshua,Joshua Dobbs,Dobbs,0.03999999910593033,2,6200,NE@NYJ,NE,NYJ,,,,,,QB
124699-154450,QB,Riley,Riley Leonard,Leonard,3.7999998728434243,3,6200,JAC@IND,IND,JAC,,,,,,QB
124699-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,10.740000406901041,15,6100,NYG@LV,NYG,LV,,,,,,WR/FLEX
124699-63759,RB,Tony,Tony Pollard,Pollard,10.653333536783855,15,6100,NO@TEN,TEN,NO,,,,,,RB/FLEX
124699-90406,QB,Zach,Zach Wilson,Wilson,0.4599999984105428,3,6100,TB@MIA,MIA,TB,,,,,,QB
124699-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.764285496303014,14,6100,TB@MIA,MIA,TB,,,,,,QB
124699-92020,QB,Kenny,Kenny Pickett,Pickett,2.265000104904175,4,6100,NYG@LV,LV,NYG,,,,,,QB
124699-63519,QB,Daniel,Daniel Jones,Jones,18.495384803185097,13,6000,JAC@IND,IND,JAC,IR,Achilles,,,,QB
124699-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,PHI@BUF,PHI,BUF,,,,,,QB
124699-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6000,PHI@BUF,PHI,BUF,,,,,,QB
124699-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,ARI@CIN,CIN,ARI,,,,,,QB
124699-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,NYG@LV,LV,NYG,,,,,,QB
124699-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,NO@TEN,TEN,NO,IR,Shoulder,,,,QB
