Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121309-26483,QB,Geno,Geno Smith,Smith,14.88800048828125,5,6800,TEN@LV,LV,TEN,,,,,,QB
121309-90573,WR,Jaylen,Jaylen Waddle,Waddle,12.4,5,6700,LAC@MIA,MIA,LAC,,,,,,WR/FLEX
121309-160303,TE,Tucker,Tucker Kraft,Kraft,11.449999809265137,4,6700,CIN@GB,GB,CIN,,,,,,TE/FLEX
121309-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.047999572753906,5,6700,SEA@JAC,JAC,SEA,,,,,,QB
121309-72297,RB,Rico,Rico Dowdle,Dowdle,10.54000015258789,5,6600,DAL@CAR,CAR,DAL,,,,,,RB/FLEX
121309-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.019999694824218,5,6600,DAL@CAR,CAR,DAL,,,,,,WR/FLEX
121309-111557,QB,Spencer,Spencer Rattler,Rattler,15.080000305175782,5,6600,NE@NO,NO,NE,,,,,,QB
121309-151794,TE,Brock,Brock Bowers,Bowers,9.25,4,6500,TEN@LV,LV,TEN,Q,Knee - pcl,,,,TE/FLEX
121309-102796,WR,Ricky,Ricky Pearsall,Pearsall,12.074999809265137,4,6500,SF@TB,SF,TB,Q,Knee - pcl,,,,WR/FLEX
121309-60840,QB,Jake,Jake Browning,Browning,14.045000076293945,4,6500,CIN@GB,CIN,GB,,,,,,QB
121309-103698,QB,Dillon,Dillon Gabriel,Gabriel,6.9533335367838545,3,6400,CLE@PIT,CLE,PIT,,,,,,QB
121309-133472,WR,Ladd,Ladd McConkey,McConkey,7.55999984741211,5,6400,LAC@MIA,LAC,MIA,,,,,,WR/FLEX
121309-89493,RB,Chase,Chase Brown,Brown,8.1,5,6400,CIN@GB,CIN,GB,,,,,,RB/FLEX
121309-168356,QB,Cam,Cam Ward,Ward,7.951999664306641,5,6400,TEN@LV,TEN,LV,,,,,,QB
121309-91750,TE,Trey,Trey McBride,McBride,9.6,5,6400,ARI@IND,ARI,IND,,,,,,TE/FLEX
121309-6714,QB,Joe,Joe Flacco,Flacco,7.974999904632568,4,6300,CLE@PIT,CLE,PIT,,,,,,QB
121309-29253,WR,Keenan,Keenan Allen,Allen,12.280000305175781,5,6300,LAC@MIA,LAC,MIA,,,,,,WR/FLEX
121309-44715,QB,Cooper,Cooper Rush,Rush,1.9466667175292969,3,6300,LAR@BAL,BAL,LAR,,,,,,QB
121309-94370,WR,Romeo,Romeo Doubs,Doubs,12.100000381469727,4,6200,CIN@GB,GB,CIN,,,,,,WR/FLEX
121309-112057,RB,Jaylen,Jaylen Warren,Warren,12.966667175292969,3,6200,CLE@PIT,PIT,CLE,Q,Knee,,,,RB/FLEX
121309-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.860000610351562,5,6200,ARI@IND,IND,ARI,,,,,,WR/FLEX
121309-103619,WR,Tre,Tre Tucker,Tucker,13.6,5,6100,TEN@LV,LV,TEN,,,,,,WR/FLEX
121309-93539,RB,Michael,Michael Carter,Carter,7.949999809265137,2,6100,ARI@IND,ARI,IND,,,,,,RB/FLEX
121309-89981,WR,Tee,Tee Higgins,Higgins,6.8599998474121096,5,6100,CIN@GB,CIN,GB,,,,,,WR/FLEX
121309-52342,QB,Will,Will Grier,Grier,,0,6000,DAL@CAR,DAL,CAR,,,,,,QB
121309-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.3,5,6000,TEN@LV,LV,TEN,,,,,,WR/FLEX
121309-61593,WR,Jauan,Jauan Jennings,Jennings,8.466666539510092,3,6000,SF@TB,SF,TB,Q,Ankle,,,,WR/FLEX
121309-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,LAC@MIA,MIA,LAC,,,,,,QB
121309-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@GB,CIN,GB,,,,,,QB
121309-149696,QB,Trey,Trey Lance,Lance,2.859999895095825,1,6000,LAC@MIA,LAC,MIA,,,,,,QB
121309-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,TEN@LV,LV,TEN,IR,Wrist,,,,QB
121309-45259,QB,Logan,Logan Woodside,Woodside,,0,6000,CLE@PIT,PIT,CLE,,,,,,QB
