Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124949-103020,WR,Puka,Puka Nacua,Nacua,20.5,15,9900,ARI@LAR,LAR,ARI,,,,,,WR/FLEX
124949-136855,RB,Bijan,Bijan Robinson,Robinson,21.65625,16,9600,NO@ATL,ATL,NO,,,,,,RB/FLEX
124949-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.833333333333332,15,9500,CLE@CIN,CIN,CLE,,,,,,WR/FLEX
124949-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,20.100000381469727,16,9300,DET@CHI,DET,CHI,,,,,,RB/FLEX
124949-89675,RB,Jonathan,Jonathan Taylor,Taylor,21.837499618530273,16,9200,IND@HOU,IND,HOU,,,,,,RB/FLEX
124949-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.131250381469727,16,9100,DET@CHI,DET,CHI,Q,Knee,,,,WR/FLEX
124949-91626,RB,James,James Cook III,Cook III,19.450000762939453,16,9000,NYJ@BUF,BUF,NYJ,,,,,,RB/FLEX
124949-86631,WR,CeeDee,CeeDee Lamb,Lamb,15.041666666666666,12,9000,DAL@NYG,DAL,NYG,,,,,,WR/FLEX
124949-62239,QB,Josh,Josh Allen,Allen,23.97624969482422,16,9000,NYJ@BUF,BUF,NYJ,Q,Foot,,,,QB
124949-110246,WR,George,George Pickens,Pickens,16.1875,16,8800,DAL@NYG,DAL,NYG,,,,,,WR/FLEX
124949-64401,RB,Saquon,Saquon Barkley,Barkley,13.925000190734863,16,8800,WAS@PHI,PHI,WAS,,,,,,RB/FLEX
124949-63336,QB,Joe,Joe Burrow,Burrow,17.617142813546316,7,8700,CLE@CIN,CIN,CLE,,,,,,QB
124949-138820,RB,De'Von,De'Von Achane,Achane,18.831249237060547,16,8600,MIA@NE,MIA,NE,,,,,,RB/FLEX
124949-152316,QB,Drake,Drake Maye,Maye,21.670000076293945,16,8600,MIA@NE,NE,MIA,,,,,,QB
124949-72846,WR,A.J.,A.J. Brown,Brown,13.086666870117188,15,8500,WAS@PHI,PHI,WAS,,,,,,WR/FLEX
124949-69531,QB,Jalen,Jalen Hurts,Hurts,19.25374984741211,16,8500,WAS@PHI,PHI,WAS,,,,,,QB
124949-91419,WR,Nico,Nico Collins,Collins,13.313333129882812,15,8400,IND@HOU,HOU,IND,,,,,,WR/FLEX
124949-6654,QB,Matthew,Matthew Stafford,Stafford,21.482500076293945,16,8400,ARI@LAR,LAR,ARI,,,,,,QB
124949-72731,RB,Josh,Josh Jacobs,Jacobs,14.606667073567708,15,8300,GB@MIN,GB,MIN,,,,,,RB/FLEX
124949-87770,WR,Chris,Chris Olave,Olave,14.25,16,8300,NO@ATL,NO,ATL,,,,,,WR/FLEX
124949-31716,QB,Dak,Dak Prescott,Prescott,21.3174991607666,16,8300,DAL@NYG,DAL,NYG,,,,,,QB
124949-89493,RB,Chase,Chase Brown,Brown,15.006250381469727,16,8200,CLE@CIN,CIN,CLE,,,,,,RB/FLEX
