Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124417-138820,RB,De'Von,De'Von Achane,Achane,19.435714721679688,14,9800,CIN@MIA,MIA,CIN,,,,,,RB/FLEX
124417-136855,RB,Bijan,Bijan Robinson,Robinson,19.985713413783483,14,9600,ATL@ARI,ATL,ARI,,,,,,RB/FLEX
124417-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,21.314285278320312,14,9500,PIT@DET,DET,PIT,,,,,,RB/FLEX
124417-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.353846623347355,13,9500,CIN@MIA,CIN,MIA,,,,,,WR/FLEX
124417-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,17.135713849748885,14,9200,PIT@DET,DET,PIT,,,,,,WR/FLEX
124417-86631,WR,CeeDee,CeeDee Lamb,Lamb,16.530000305175783,10,9000,LAC@DAL,DAL,LAC,,,,,,WR/FLEX
124417-62239,QB,Josh,Josh Allen,Allen,25.252857753208705,14,9000,BUF@CLE,BUF,CLE,,,,,,QB
124417-91626,RB,James,James Cook III,Cook III,19.57857186453683,14,8800,BUF@CLE,BUF,CLE,,,,,,RB/FLEX
124417-110246,WR,George,George Pickens,Pickens,15.978571210588727,14,8800,LAC@DAL,DAL,LAC,,,,,,WR/FLEX
124417-91419,WR,Nico,Nico Collins,Collins,14.200000469501202,13,8500,LV@HOU,HOU,LV,,,,,,WR/FLEX
124417-85671,WR,Justin,Justin Jefferson,Jefferson,9.614286150251116,14,8400,MIN@NYG,MIN,NYG,,,,,,WR/FLEX
124417-31716,QB,Dak,Dak Prescott,Prescott,21.159999302455358,14,8400,LAC@DAL,DAL,LAC,,,,,,QB
124417-63336,QB,Joe,Joe Burrow,Burrow,13.591999816894532,5,8300,CIN@MIA,CIN,MIA,,,,,,QB
124417-152664,RB,Bucky,Bucky Irving,Irving,14.757143293108259,7,8200,TB@CAR,TB,CAR,,,,,,RB/FLEX
124417-91750,TE,Trey,Trey McBride,McBride,16.32857186453683,14,8200,ATL@ARI,ARI,ATL,,,,,,TE/FLEX
124417-32384,WR,Mike,Mike Evans,Evans,9.240000152587891,5,8200,TB@CAR,TB,CAR,,,,,,WR/FLEX
124417-38435,QB,Jared,Jared Goff,Goff,19.305714198521205,14,8100,PIT@DET,DET,PIT,,,,,,QB
124417-69189,QB,Justin,Justin Herbert,Herbert,18.752857753208705,14,8000,LAC@DAL,LAC,DAL,,,,,,QB
124417-111311,WR,Rashee,Rashee Rice,Rice,15.824999809265137,8,8000,KC@TEN,KC,TEN,,,,,,WR/FLEX
124417-112745,WR,Drake,Drake London,London,18,9,7900,ATL@ARI,ATL,ARI,Q,Knee - pcl,,,,WR/FLEX
124417-93541,RB,Javonte,Javonte Williams,Williams,15.32857186453683,14,7900,LAC@DAL,DAL,LAC,,,,,,RB/FLEX
124417-41535,QB,Baker,Baker Mayfield,Mayfield,17.03999982561384,14,7700,TB@CAR,TB,CAR,,,,,,QB
124417-87770,WR,Chris,Chris Olave,Olave,12.021428789411273,14,7700,NYJ@NO,NO,NYJ,,,,,,WR/FLEX
124417-102965,QB,Bo,Bo Nix,Nix,19.831429617745535,14,7600,JAC@DEN,DEN,JAC,,,,,,QB
124417-72297,RB,Rico,Rico Dowdle,Dowdle,13.549999782017299,14,7600,TB@CAR,CAR,TB,,,,,,RB/FLEX
124417-169410,RB,Quinshon,Quinshon Judkins,Judkins,11.707692072941708,13,7500,BUF@CLE,CLE,BUF,,,,,,RB/FLEX
124417-30231,QB,Jacoby,Jacoby Brissett,Brissett,18.42909102006392,11,7500,ATL@ARI,ARI,ATL,,,,,,QB
124417-89981,WR,Tee,Tee Higgins,Higgins,12.391666412353516,12,7500,CIN@MIA,CIN,MIA,Q,Concussion,,,,WR/FLEX
124417-73048,WR,DK,DK Metcalf,Metcalf,11.25,14,7400,PIT@DET,PIT,DET,,,,,,WR/FLEX
124417-151966,QB,Jaxson,Jaxson Dart,Dart,18.189091075550426,11,7400,MIN@NYG,NYG,MIN,,,,,,QB
124417-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,15.200000217982701,14,7400,JAC@DEN,JAC,DEN,,,,,,RB/FLEX
124417-103064,RB,Breece,Breece Hall,Hall,12.247143336704799,14,7300,NYJ@NO,NYJ,NO,,,,,,RB/FLEX
124417-151794,TE,Brock,Brock Bowers,Bowers,12.581817626953125,11,7200,LV@HOU,LV,HOU,,,,,,TE/FLEX
124417-89493,RB,Chase,Chase Brown,Brown,12.757143293108259,14,7200,CIN@MIA,CIN,MIA,,,,,,RB/FLEX
124417-129471,QB,C.J.,C.J. Stroud,Stroud,15.91272666237571,11,7200,LV@HOU,HOU,LV,,,,,,QB
124417-89612,WR,Michael,Michael Wilson,Wilson,10.185714721679688,14,7200,ATL@ARI,ARI,ATL,,,,,,WR/FLEX
124417-90573,WR,Jaylen,Jaylen Waddle,Waddle,11.051428658621651,14,7100,CIN@MIA,MIA,CIN,,,,,,WR/FLEX
124417-138774,RB,Woody,Woody Marks,Marks,8.950000217982701,14,7100,LV@HOU,HOU,LV,Q,Ankle,,,,RB/FLEX
124417-89951,QB,Trevor,Trevor Lawrence,Lawrence,19.614286150251115,14,7100,JAC@DEN,JAC,DEN,,,,,,QB
124417-133472,WR,Ladd,Ladd McConkey,McConkey,9.857142857142858,14,7000,LAC@DAL,LAC,DAL,,,,,,WR/FLEX
124417-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.764285496303014,14,7000,CIN@MIA,MIA,CIN,,,,,,QB
124417-110484,RB,RJ,RJ Harvey,Harvey,10.221429007393974,14,7000,JAC@DEN,DEN,JAC,Q,Ribs,,,,RB/FLEX
