2025-10-14 09:57:42,751 | PERF | load_player_data | Duration: 0.116s
2025-10-14 10:04:49,645 | PERF | load_player_data | Duration: 0.106s
2025-10-14 10:10:49,474 | PERF | load_player_data | Duration: 0.095s
2025-10-14 10:13:09,621 | PERF | load_player_data | Duration: 0.082s
2025-10-14 10:14:16,030 | PERF | load_player_data | Duration: 0.056s
2025-10-14 10:14:27,294 | PERF | load_player_data | Duration: 0.064s
2025-10-14 10:14:37,229 | PERF | load_player_data | Duration: 0.074s
2025-10-14 10:14:53,068 | PERF | load_player_data | Duration: 0.065s
2025-10-14 10:16:50,204 | PERF | load_player_data | Duration: 0.124s
2025-10-14 10:20:31,306 | PERF | load_player_data | Duration: 0.103s
2025-10-14 10:20:45,909 | PERF | load_player_data | Duration: 0.098s
2025-10-14 10:24:04,761 | PERF | load_player_data | Duration: 0.059s
2025-10-14 10:24:17,011 | PERF | load_player_data | Duration: 0.056s
2025-10-14 10:25:44,847 | PERF | load_player_data | Duration: 0.044s
2025-10-14 10:31:39,352 | PERF | load_player_data | Duration: 0.050s
2025-10-14 10:35:49,595 | PERF | load_player_data | Duration: 0.064s
2025-10-14 10:37:36,077 | PERF | load_player_data | Duration: 0.057s
2025-10-14 10:38:37,996 | PERF | load_player_data | Duration: 0.044s
2025-10-14 10:38:51,196 | PERF | load_player_data | Duration: 0.066s
2025-10-14 10:38:56,670 | PERF | load_player_data | Duration: 0.045s
2025-10-14 10:45:05,797 | PERF | load_player_data | Duration: 0.046s
2025-10-14 10:45:18,649 | PERF | load_player_data | Duration: 0.049s
2025-10-14 10:45:39,975 | PERF | load_player_data | Duration: 0.061s
2025-10-14 10:45:51,005 | PERF | load_player_data | Duration: 0.055s
