2025-10-11 12:50:03,024 | PERF | load_player_data | Duration: 0.142s
2025-10-11 15:31:01,521 | PERF | load_player_data | Duration: 0.053s
2025-10-11 15:44:27,940 | PERF | load_player_data | Duration: 0.061s
2025-10-11 18:31:52,417 | PERF | load_player_data | Duration: 0.115s
2025-10-11 18:38:05,246 | PERF | load_player_data | Duration: 0.075s
2025-10-11 18:42:55,357 | PERF | load_player_data | Duration: 0.086s
2025-10-11 18:50:28,935 | PERF | load_player_data | Duration: 0.092s
2025-10-11 18:52:35,128 | PERF | load_player_data | Duration: 0.101s
2025-10-11 18:53:46,192 | PERF | load_player_data | Duration: 0.086s
2025-10-11 19:30:29,485 | PERF | load_player_data | Duration: 0.047s
